"GR","0","0","Araxos"
"PF","-17.05","-145.41667","Anaa"
"AU","-26.7","141.04167","Arrabury"
"EG","31.133333","33.75","Al Arish"
"SD","0","0","Ad-Dabbah"
"DZ","36.821392","7.811857","Annaba"
"US","29.733334","-84.98333","Apalachicola"
"BR","-24.103611","-49.79","Arapoti"
"DE","50.7754385","6.0815102","Aachen"
"BR","-12.916667","-46.933334","Arraias"
"SR","3.9","-55.36667","Awaradam"
"KI","0.166667","173.58333","Aranuka"
"DK","57.028811","9.917771","Aalborg"
"ZA","-24.8","31.533333","Mala Mala"
"AE","24.2075","55.7447222","Al Ain"
"VE","9.431944","-64.46389","Anaco"
"RU","44.9","37.316666","Anapa"
"DK","56.162939","10.203921","Aarhus"
"ID","-3.916667","139.25","Apalapsili"
"CN","47.750362","88.08444","Altay"
"WS","-13.458333","-172.6","Asau"
"PH","6.333333","124.76667","Alah"
"PK","34.2","73.25","Abbottabad"
"BR","-19.568056","-46.92917","Araxa"
"YE","16.19596","52.173256","Al Ghaydah"
"GT","14.87","-91.5","Quetzaltenango"
"RU","53.716667","91.5","Abakan"
"GB","51.666668","-1.283333","Abingdon"
"ES","38.9976516","-1.8600701","Albacete"
"IR","30.363905","48.226597","Abadan"
"US","40.651573","-75.434364","Allentown"
"KI","1.670833","173.30417","Abaiang"
"AU","-17.666668","143.2","Abingdon"
"AU","-23.65","146.63333","Alpha"
"US","32.4487364","-99.7331439","Abilene"
"CI","5.254879","-3.933015","Abidjan"
"ET","6.733889","44.26611","Kabri Dar"
"US","67.0875","-157.84584","Ambler"
"AU","-10.942619","142.45033","Bamaga"
"SR","5.5","-54.083332","Albina"
"CI","5.433333","-3.216667","Aboisso"
"PG","-6.066667","141.1","Atkamba"
"US","35.049625","-106.617195","Albuquerque"
"US","45.4525","-98.42611","Aberdeen"
"EG","22.367567","31.609774","Abu Simbel"
"SA","20.29401","41.64002","Al-Baha"
"ID","-9.133333","124.88333","Atambua"
"NG","9.004614","7.270447","Abuja"
"PG","-10.183333","148.7","Abau"
"AU","-36.069626","146.95453","Albury"
"US","31.5785074","-84.155741","Albany (Georgia)"
"GB","57.1474915","-2.095397","Aberdeen"
"MX","16.762403","-99.75459","Acapulco"
"US","44.983334","-85.21667","Bellaire"
"GH","5.60737","-0.171769","Accra"
"CO","8.516667","-77.3","Acandi"
"ES","28.950668","-13.609059","Lanzarote"
"CH","47.483334","9.566667","Altenrhein"
"GB","49.709347","-2.215369","Alderney"
"LK","8.35","80.38333","Anuradhapura"
"US","41.256668","-70.05972","Nantucket"
"CO","4.75","-73","Aguaclara"
"CO","-2","-71.833336","Arica"
"MX","29.3","-100.916664","Ciudad Acuna"
"CH","0","0","Ascona"
"IR","37.347244","46.145115","Sahand"
"CO","-0.383333","-72.3","Araracuara"
"RU","56.266666","90.566666","Achinsk"
"US","31.549333","-97.1466695","Waco"
"PA","9.576389","-79.72444","Achutupo"
"US","40.970913","-124.106926","Arcata"
"CN","25.085556","104.95944","Xingyi"
"IR","31.087694","61.542244","Zabol"
"TR","37","35.3213333","Adana"
"PG","-7.133333","145.73334","Andakombe"
"ET","8.983759","38.7959","Addis Ababa"
"YE","12.826116","45.037537","Aden"
"TR","37.75","38.266666","Adiyaman"
"US","41.9","-84.03333","Adrian"
"RU","58.6","125.4","Aldan"
"NA","-22.4","15","Arandis"
"US","51.88278","-176.64473","Adak Island"
"AU","-34.9286212","138.5999594","Adelaide"
"US","34.303055","-97.01945","Ardmore"
"CO","5.666667","-75.933334","Andes"
"AU","-31.016666","137.15","Andamooka"
"LK","7.336389","81.625275","Ampara"
"US","57.79","-152.4072222","Kodiak"
"US","33.45","-79.566666","Andrews"
"US","34.8","-96.666664","Ada"
"IR","38.323826","48.42125","Ardabil"
"GB","0","0","Andover"
"US","38.816666","-76.86667","Camp Springs"
"GB","56.36667","-2.866667","St Andrews"
"ZA","-22.666668","29.05","Alldays"
"CO","12.586047","-81.70221","San Andres Island"
"KI","0.483333","173.85","Abemama Atoll"
"CN","23.71947","106.96777","Baise"
"US","58.033333","-152.9","Aleneva"
"SD","0","0","Adareil"
"ID","1.399722","99.416664","Aek Godang"
"TD","13.851389","20.850834","Abecher"
"ES","36.1289","-5.441301","Algeciras"
"PG","-7.366667","146.28334","Aseki"
"US","43.65","-93.36667","Albert Lea"
"MR","16.709167","-9.635556","Aioun El Atrouss"
"RU","43.44884","39.941105","Adler/Sochi"
"NO","62.559643","6.116605","Aalesund"
"US","66.56167","-152.65834","Allakaket"
"IR","25.8875","55.041668","Abu Musa"
"US","31.3112936","-92.4451371","Alexandria"
"IS","65.654564","-18.075068","Akureyri"
"AR","-34.58917","-68.40056","San Rafael"
"ZA","-33.583332","26.883333","Port Alfred"
"CO","6.916667","-75.066666","Amalfi"
"BR","-9.872456","-56.104767","Alta Floresta"
"US","42.833332","-72.066666","Jaffrey"
"US","42.733334","-110.933334","Afton"
"PG","-9.133333","148.38333","Afore"
"UZ","41.61361","64.233055","Zarafshan"
"SB","-9.2","160.85","Afutara"
"TR","38.733334","30.6","Afyon"
"IR","36.171513","57.60332","Sabzevar"
"MA","30.378326","-9.555895","Agadir"
"ID","-1.383333","133.86667","Anggi"
"DE","53.783333","7.916667","Wangerooge"
"FR","44.17361","0.598611","Agen"
"PG","-4.168611","144.07388","Angoram"
"SE","56.2432","12.8615092","Angelholm/Helsingborg"
"SR","5.833333","-56.833332","Wageningen"
"JP","26.589722","127.23805","Aguni"
"PG","-6.403333","143.84666","Kagua"
"PG","-9.340278","149.15527","Wanigela"
"GL","65.6","-37.683334","Tasiilaq"
"US","57.503887","-134.58333","Angoon"
"US","33.266666","-93.23333","Magnolia"
"ES","36.7196484","-4.4200163","Malaga"
"GR","38.604168","21.351944","Agrinion"
"IN","27.158333","77.962776","Agra"
"PY","-25.5","-54.833332","Ciudad del Este"
"MX","21.701416","-102.31374","Aguascalientes"
"VE","9.552222","-69.23333","Acarigua"
"AU","-12.15","142.15","Agnew"
"IN","10.828967","72.17987","Agatti Island"
"AU","0","0","Argyle Downs"
"ZA","-29.05","18.85","Aggeneys"
"SA","18.23429","42.657574","Abha"
"US","40.15","-120.13333","Herlong"
"PF","-14.428056","-146.25694","Ahe"
"US","40.3","-99.9","Arapahoe"
"US","45.3","-92.35","Amery"
"ID","-3.333333","128.91667","Amahai"
"GY","2.483333","-59.316666","Aishalton"
"US","0","0","Ashland"
"US","33.95195","-83.32472","Athens"
"IT","40.630405","8.295891","Alghero"
"HN","15.441667","-84.425","Ahuas"
"US","51.5","179","Amchitka"
"MA","35.17972","-3.836944","Al Hoceima"
"MG","-20.016666","45.533333","Ambatolahy"
"FR","45.083332","6.083333","Alpe D Huez"
"US","42.051666","-102.80666","Alliance"
"US","56.233334","-132.38333","Anita Bay"
"MH","7.5","170.83333","Airok"
"US","40.166668","-85.683334","Anderson"
"PG","-5.166667","144.66667","Aiome"
"BR","-22.666668","-50.416668","Assis"
"CF","6.516667","23.25","Yalinga"
"PG","-7.348611","141.26639","Aiambak"
"DJ","11.15","42.716667","Alisabieh"
"US","33.566666","-81.71667","Aiken"
"PA","9.25","-78.083336","Ailigandi"
"MH","10.2","169.98334","Ailuk Island"
"US","70.63333","-160.03334","Wainwright"
"US","41.4","-95.01667","Atlantic"
"MH","7.266667","168.81667","Ailinglapalap Island"
"BR","-10.25","-59.38333","Aripuana"
"KI","-2.65","176.83333","Arorae Island"
"CK","-18.829443","-159.767","Aitutaki"
"CK","-20.033333","-158.1","Atiu Island"
"US","33.13333","-88.15","Aliceville"
"NA","-27.983334","17.583332","Ai-Ais"
"US","39.36","-74.45722","Atlantic City"
"US","38.09833","-92.54722","Kaiser / Lake Ozark"
"FR","41.91987","8.794013","Ajaccio"
"SA","29.788668","40.101486","Jouf"
"TR","39.65","43.025","Agri"
"MR","19.730556","-14.374444","Akjoujt"
"IR","34.13333","49.833332","Araak"
"IN","23.838985","92.62482","Aizawl"
"KM","-12.126389","44.42972","Anjouan"
"YE","0","0","Aljouf"
"SE","65.59139","19.285557","Arvidsjaur"
"MX","26.833332","-113.666664","Abreojos"
"BR","-10.987206","-37.072792","Aracaju"
"NE","16.964167","7.993056","Agades"
"CN","32.7091","108.936","Ankang"
"US","52.21722","-174.20084","Atka"
"IN","20.666668","77.083336","Akola"
"GA","-1.172222","13.916667","Akieni"
"LY","24.2","23.333332","Kufrah"
"PG","-3.633333","142.01666","Anguganak"
"SA","24.063334","47.580555","Al Kharj"
"US","60.905556","-161.22333","Akiak"
"JP","43.67109","142.45454","Asahikawa"
"US","56.944443","-154.16667","Akhiok"
"NZ","-36.8484597","174.7633315","Auckland"
"TD","10.883333","19.816668","Zakouma"
"US","58.68274","-156.66902","King Salmon"
"US","40.166668","-103.21667","Akron"
"US","68.1375","-151.74","Anaktuvuk"
"ID","-4.616667","105.23333","Astraksetra"
"NG","7.25","5.083333","Akure"
"SB","-8.697778","160.68083","Auki"
"CY","34.583332","32.983334","Akrotiri"
"CN","41.259983","80.29262","Aksu"
"CA","60.733334","-78.583336","Akulivik"
"IR","30.75","49.683334","Aghajari"
"KZ","50.249336","57.211403","Aktobe"
"MM","20.130278","92.88028","Sittwe"
"KZ","43.255058","76.912628","Almaty"
"US","42.6525793","-73.7562317","Albany"
"ES","38.34521","-0.4809945","Alicante"
"PE","-11.683333","-69.333336","Alerta"
"US","30.416668","-103.75","Alpine"
"NO","69.977165","23.355808","Alta"
"DZ","36.70058","3.21167","Algiers"
"AU","-34.944996","117.804","Albany"
"US","27.75","-98.066666","Alice"
"ZA","-28.567223","16.536388","Alexander Bay"
"ET","7.966667","39.11667","Asela"
"IT","44.05","8.216667","Albenga"
"US","32.8995325","-105.960265","Alamogordo"
"US","38.891666","-90.04833","Alton"
"US","42.55611","-92.39972","Waterloo"
"SY","36.185352","37.227074","Aleppo"
"BR","-29.799723","-55.763332","Alegrete"
"NZ","-45.21389","169.36945","Alexandra"
"US","37.43667","-105.86667","Alamosa"
"BR","-1.933333","-54.766666","Alenquer"
"SO","11.966667","50.8","Alula"
"US","46.094723","-118.291115","Walla Walla"
"US","32.933334","-85.95","Alexander City"
"EG","31.2135","29.9443","Alexandria"
"US","56.895832","-154.24583","Alitak"
"US","35.2219971","-101.8312969","Amarillo"
"MG","-13.183333","48.983334","Ambilobe"
"TD","11.033333","20.283333","Am Timan"
"IN","23.06639","72.62417","Ahmedabad"
"MZ","-15.833333","37.583332","Alto Molocue"
"PG","-4.166667","141.66667","Ama"
"PG","-4.616667","143.7","Amboin"
"ET","6.036111","37.576942","Arba Mintch"
"ID","-8.563165","116.10237","Mataram"
"BR","-16.183332","-40.683334","Almenara"
"PA","8.266667","-82.86667","Puerto Armuellas"
"JO","31.722534","35.98932","Amman"
"US","43.38333","-84.65","Alma"
"TD","14.116667","15.316667","Mao"
"MG","-24.7","44.733334","Ampanihy"
"ID","-3.704996","128.08888","Ambon"
"MH","7.033333","171.23334","Arno"
"NL","52.3730556","4.8922222","Amsterdam"
"AU","-26.766666","132.03334","Amata"
"PG","-3.516667","141.15","Amanab"
"RU","69.76667","61.55","Amderma"
"US","41.994167","-93.61833","Ames"
"AU","-21.74","135.24","Ammaroo"
"MG","-17.683332","45.666668","Ambatomainty"
"NZ","-37.033333","174.96666","Ardmore"
"US","33.816666","-117.933334","Anaheim"
"US","33.6598257","-85.8316318","Anniston"
"US","61.2180556","-149.9002778","Anchorage"
"US","34.49361","-82.71","Anderson"
"FR","47.478419","-0.563166","Angers"
"CL","-23.449","-70.44079","Antofagasta"
"FR","45.733334","0.216667","Angouleme"
"SB","-8.983333","160.5","Anuha Island Resort"
"US","61.574398","-159.53697","Aniak"
"CG","-2.85","13.833333","Zanaga"
"TR","39.866667","39.866667","Ankara"
"AO","-11.25","17.25","Andulo"
"MG","-15","50.316666","Antalaha"
"US","55.036945","-131.57056","Annette Island"
"MZ","-16.177778","39.936943","Angoche"
"US","38.983334","-76.5","Annapolis"
"US","41.63333","-85","Angola"
"PE","-13.716667","-73.355835","Andahuaylas"
"AT","47.15","10.283333","St Anton"
"AG","17.108334","-61.76389","Antigua"
"US","62.647778","-160.18889","Anvik"
"US","42.55","-99.86667","Ainsworth"
"NO","69.30492","16.133326","Andenes"
"US","37.15","-98.03333","Anthony"
"AU","-25.083332","132.16667","Angus Downs"
"PG","-9.05","146.8","Aroa"
"PG","-4.916667","144.65","Annanberg"
"DE","50.983334","12.45","Altenburg"
"TD","11.474722","19.288889","Abou Deia"
"TR","0","0","Eskisehir"
"CN","41.166668","123.03333","Anshan"
"US","40.766666","-84.1","Lima"
"IT","43.60691","13.355723","Ancona"
"JP","40.738758","140.68922","Aomori"
"GR","35.420685","27.146729","Karpathos"
"AR","-29.683332","-57.15","Paso De Los Libres"
"PG","-6.333333","146","Arona"
"US","40.297222","-78.32","Altoona"
"MY","6.201171","100.405266","Alor Setar"
"US","57.466667","-153.83333","Amook"
"IT","45.73861","7.3625","Aosta"
"LA","14.8","106.833336","Attopeu"
"BO","-14.716667","-68.51667","Apolo"
"US","38.212223","-122.28","Napa"
"PE","-11.933333","-69.083336","San Juan Aposento"
"US","26.152779","-81.775276","Naples"
"US","39.5","-76.166664","Aberdeen"
"US","38.05","-77.35","Bowling Green"
"CO","4.068889","-73.05194","Apiay"
"PF","-15.416667","-146.08333","Apataki"
"MZ","-15.101667","39.287224","Nampula"
"US","45.08167","-83.55583","Alpena"
"CO","7.817678","-76.71766","Apartado"
"PG","-8.983333","148.13333","Asapa"
"BR","-9.75","-36.65","Arapiraca"
"PG","-8.5","145","April River"
"BR","-16.333332","-48.966667","Anapolis"
"US","35.066666","-85.5","Jasper"
"BR","-23.55","-51.483334","Apucarana"
"US","34.52639","-117.212776","Apple Valley"
"WS","-13.8333333","-171.7666667","Apia"
"BR","-23.483334","-51.466667","Arapongas"
"BR","-9.133333","-45.933334","Alto Parnaiba"
"AR","-38.916668","-70.083336","Zapala"
"BR","-21.816668","-48.13333","Araraquara"
"GT","15.01","-91.15","Quiche"
"CN","30.5825","117.0509","Anqing"
"SA","28.334408","46.121315","Qaisumah"
"JO","29.610073","35.02151","Aqaba"
"BR","-9.933333","-63.066666","Ariquemes"
"PE","-16.344812","-71.56799","Arequipa"
"FJ","-17","170.9","Saqani"
"US","60.966667","-149.11667","Alyeska"
"US","30.037779","-91.88389","New Iberia"
"US","42.3","-83.75","Ann Arbor"
"US","68.1375","-145.52444","Arctic Village"
"ID","-8.683333","124.53333","Alor Island"
"PR","18.45","-66.675835","Arecibo"
"CO","0.533333","-70.13333","Acaricuara"
"US","36.066666","-90.95","Walnut Ridge"
"RU","64.594795","40.711903","Arkhangelsk"
"CL","-18.349766","-70.335556","Arica"
"ID","-2.933333","140.78334","Arso"
"TZ","-3.366667","36.683334","Arusha"
"BF","11.6","1.483333","Arly"
"AU","-30.532297","151.61493","Armidale"
"CO","8.85","-76.433334","Arboletas"
"PG","-9.8","149.5","Aragip"
"CO","7.033056","-71.43166","Arauquita"
"AR","-45.033333","-70.833336","Alto Rio Senguerr"
"BR","-15.9","-52.233334","Aragarcas"
"US","43.990833","-76.021385","Watertown (New York)"
"BR","-21.143612","-50.42611","Aracatuba"
"US","45.924168","-89.73222","Minocqua"
"RO","46.183334","21.266666","Arad"
"US","40.216667","-74.1","Asbury Park"
"AU","-37.316666","143","Ararat"
"AO","-7.5","13.5","N'Zeto"
"ER","13.07","42.638332","Assab"
"TM","37.984184","58.366978","Ashkhabad"
"BO","-15.916667","-63.15","Ascension"
"BS","24.697779","-77.79611","Andros Town"
"US","39.219685","-106.864685","Aspen"
"RU","46.2877","47.999977","Astrakhan"
"NZ","-43.9","171.78334","Ashburton"
